speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.4,,0.7,1,9,3,2,0.4956381680856246,0.0009093032554698916,0.2565427478715631
16,16,0.4,,0.7,1,9,4,1,0.4699134224772359,0.00163014433724288,0.29512986630471516
16,16,0.4,,0.7,1,9,5,0,0.6275048304831787,0.001626748447881325,0.9474957276227937
16,16,0,,0.3,9,1,0,5,0.6275048304831787,0.4951141553506322,0.9474957276227937
16,16,0,,0.3,9,1,1,4,0.4699134224772359,0.4956363000058324,0.29512986630471516
16,16,0,,0.3,9,1,2,3,0.4956381680856246,0.3539040506506175,0.2565427478715631
16,16,0,,0.3,9,1,3,2,0.5042870346167382,0.035194770593018364,0.24356944807489272
16,16,0,,0.3,9,1,4,1,0.5268547120223199,0.10395662656729462,0.20971793196040028
16,16,0,,0.3,9,1,5,0,0.23977579894350493,0.42035957779110233,0.03571860056761691
16,16,0,,0.3,1,9,0,5,0.23977579894350487,0.42035957779110195,0.9642813994323829
16,16,0,,0.3,1,9,1,4,0.5268547120223199,0.10395662656729425,0.7902820680395997
16,16,0,,0.3,1,9,2,3,0.5042870346167382,0.0351947705930186,0.7564305519251071
16,16,0,,0.3,1,9,3,2,0.4956381680856246,0.3539040506506189,0.7434572521284368
16,16,0,,0.3,1,9,4,1,0.4699134224772359,0.49563630000583253,0.704870133695285
16,16,0,,0.3,1,9,5,0,0.6275048304831787,0.4951141553506323,0.052504272377206285
16,16,0,,0.7,9,1,0,5,0.6275048304831787,0.4951141553506322,0.052504272377206465
16,16,0,,0.7,9,1,1,4,0.4699134224772359,0.4956363000058324,0.704870133695285
16,16,0,,0.7,9,1,2,3,0.4956381680856246,0.3539040506506175,0.7434572521284368
16,16,0,,0.7,9,1,3,2,0.5042870346167382,0.035194770593018364,0.7564305519251071
16,16,0,,0.7,9,1,4,1,0.5268547120223199,0.10395662656729462,0.7902820680395997
16,16,0,,0.7,9,1,5,0,0.23977579894350493,0.42035957779110233,0.964281399432383
16,16,0,,0.7,1,9,0,5,0.23977579894350487,0.42035957779110195,0.035718600567617054
16,16,0,,0.7,1,9,1,4,0.5268547120223199,0.10395662656729425,0.20971793196040028
16,16,0,,0.7,1,9,2,3,0.5042870346167382,0.0351947705930186,0.24356944807489272
16,16,0,,0.7,1,9,3,2,0.4956381680856246,0.3539040506506189,0.2565427478715631
16,16,0,,0.7,1,9,4,1,0.4699134224772359,0.49563630000583253,0.29512986630471516
16,16,0,,0.7,1,9,5,0,0.6275048304831787,0.4951141553506323,0.9474957276227937
16,1,0.1,,0.3,9,1,0,5,0.6275048304831787,0.4661924327181882,0.9474957276227937
16,1,0.1,,0.3,9,1,1,4,0.4699134224772359,0.46635992763761336,0.29512986630471516
16,1,0.1,,0.3,9,1,2,3,0.4956381680856246,0.4596543548206413,0.2565427478715631
16,1,0.1,,0.3,9,1,3,2,0.5042870346167382,0.4385050662992921,0.24356944807489272
16,1,0.1,,0.3,9,1,4,1,0.5268547120223199,0.4474785769044554,0.20971793196040028
16,1,0.1,,0.3,9,1,5,0,0.23977579894350493,0.4684376344702579,0.03571860056761691
16,1,0.1,,0.3,1,9,0,5,0.23977579894350487,0.46843763447025794,0.9642813994323829
16,1,0.1,,0.3,1,9,1,4,0.5268547120223199,0.4474785769044554,0.7902820680395997
16,1,0.1,,0.3,1,9,2,3,0.5042870346167382,0.4385050662992925,0.7564305519251071
16,1,0.1,,0.3,1,9,3,2,0.4956381680856246,0.4596543548206413,0.7434572521284368
16,1,0.1,,0.3,1,9,4,1,0.4699134224772359,0.46635992763761336,0.704870133695285
16,1,0.1,,0.3,1,9,5,0,0.6275048304831787,0.46619243271818833,0.052504272377206285
16,1,0.1,,0.7,9,1,0,5,0.6275048304831787,0.4661924327181882,0.052504272377206465
16,1,0.1,,0.7,9,1,1,4,0.4699134224772359,0.46635992763761336,0.704870133695285
16,1,0.1,,0.7,9,1,2,3,0.4956381680856246,0.4596543548206413,0.7434572521284368
16,1,0.1,,0.7,9,1,3,2,0.5042870346167382,0.4385050662992921,0.7564305519251071
16,1,0.1,,0.7,9,1,4,1,0.5268547120223199,0.4474785769044554,0.7902820680395997
16,1,0.1,,0.7,9,1,5,0,0.23977579894350493,0.4684376344702579,0.964281399432383
16,1,0.1,,0.7,1,9,0,5,0.23977579894350487,0.46843763447025794,0.035718600567617054
16,1,0.1,,0.7,1,9,1,4,0.5268547120223199,0.4474785769044554,0.20971793196040028
16,1,0.1,,0.7,1,9,2,3,0.5042870346167382,0.4385050662992925,0.24356944807489272
16,1,0.1,,0.7,1,9,3,2,0.4956381680856246,0.4596543548206413,0.2565427478715631
16,1,0.1,,0.7,1,9,4,1,0.4699134224772359,0.46635992763761336,0.29512986630471516
16,1,0.1,,0.7,1,9,5,0,0.6275048304831787,0.46619243271818833,0.9474957276227937
16,1,0.2,,0.3,9,1,0,5,0.6275048304831787,0.4414111549739683,0.9474957276227937
16,1,0.2,,0.3,9,1,1,4,0.4699134224772359,0.44157711156256974,0.29512986630471516
16,1,0.2,,0.3,9,1,2,3,0.4956381680856246,0.434937447875258,0.2565427478715631
16,1,0.2,,0.3,9,1,3,2,0.5042870346167382,0.4140539634054144,0.24356944807489272
16,1,0.2,,0.3,9,1,4,1,0.5268547120223199,0.4229039716422828,0.20971793196040028
16,1,0.2,,0.3,9,1,5,0,0.23977579894350493,0.4436361963887241,0.03571860056761691
16,1,0.2,,0.3,1,9,0,5,0.23977579894350487,0.44363619638872426,0.9642813994323829
16,1,0.2,,0.3,1,9,1,4,0.5268547120223199,0.42290397164228277,0.7902820680395997
16,1,0.2,,0.3,1,9,2,3,0.5042870346167382,0.4140539634054148,0.7564305519251071
16,1,0.2,,0.3,1,9,3,2,0.4956381680856246,0.43493744787525807,0.7434572521284368
16,1,0.2,,0.3,1,9,4,1,0.4699134224772359,0.4415771115625696,0.704870133695285
16,1,0.2,,0.3,1,9,5,0,0.6275048304831787,0.4414111549739685,0.052504272377206285
16,1,0.2,,0.7,9,1,0,5,0.6275048304831787,0.4414111549739683,0.052504272377206465
16,1,0.2,,0.7,9,1,1,4,0.4699134224772359,0.44157711156256974,0.704870133695285
16,1,0.2,,0.7,9,1,2,3,0.4956381680856246,0.434937447875258,0.7434572521284368
16,1,0.2,,0.7,9,1,3,2,0.5042870346167382,0.4140539634054144,0.7564305519251071
16,1,0.2,,0.7,9,1,4,1,0.5268547120223199,0.4229039716422828,0.7902820680395997
