,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,total_ex,mean,normalized_mean,normalized_theta
91,A1B1DPJRVIAV3L,15,seqNoFeedback,0,0.7,9,1,B,40,10,,,,0.25,no,50,0.8,0.19999999999999996,0.3
92,A1B1DPJRVIAV3L,15,seqNoFeedback,1,0.7,9,1,B,40,15,0.77,0.07000000000000006,0.0,0.25,no,55,0.7272727272727273,0.2727272727272727,0.3
93,A1BM57TUNAQIXM,0,seqNoFeedback,0,0.7,9,1,B,3,0,,,,2.6,yes,3,1.0,0.0,0.3
94,A1BM57TUNAQIXM,1,seqFeedback,0,0.7,1,9,A,2,0,0.25,,,2.6,yes,2,1.0,1.0,0.7
95,A1BM57TUNAQIXM,1,seqFeedback,1,0.7,1,9,A,5,0,0.47,0.22999999999999998,0.0,2.6,yes,5,1.0,1.0,0.7
96,A1BM57TUNAQIXM,2,seqFeedback,0,0.3,1,9,A,0,4,0.07,,,2.6,yes,4,0.0,0.0,0.3
97,A1BM57TUNAQIXM,2,seqFeedback,1,0.3,1,9,A,4,0,0.28,0.019999999999999962,0.62,2.6,yes,4,1.0,1.0,0.3
98,A1BM57TUNAQIXM,3,nonSeqFull,0,0.3,9,1,B,0,5,0.60,0.3,0.0,2.6,yes,5,0.0,1.0,0.7
99,A1BM57TUNAQIXM,4,seqFeedback,0,0.7,9,1,B,3,1,0.86,,,2.6,yes,4,0.75,0.25,0.3
100,A1BM57TUNAQIXM,4,seqFeedback,1,0.7,9,1,B,0,4,0.67,0.029999999999999916,0.62,2.6,yes,4,0.0,1.0,0.3
101,A1BM57TUNAQIXM,5,nonSeqFull,0,0.7,9,1,B,0,2,0.75,0.050000000000000044,0.68,2.6,yes,2,0.0,1.0,0.3
102,A1BM57TUNAQIXM,6,nonSeqPartial,0,0.7,1,9,A,3,1,0.29,0.41,0.0,2.6,yes,4,0.75,0.75,0.7
103,A1BM57TUNAQIXM,7,nonSeqPartial,0,0.7,9,1,B,5,0,0.93,0.2300000000000001,0.0,2.6,yes,5,1.0,0.0,0.3
