subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
3,1,0.01,seqFeedback,1,0.3,A,14,24
3,1,0.01,seqFeedback,0,0.3,B,5,3
3,1,0.01,seqFeedback,1,0.3,B,9,24
3,1,0.01,seqFeedback,0,0.7,A,45,2
3,1,0.01,seqFeedback,1,0.7,A,43,16
3,1,0.01,seqFeedback,0,0.7,B,16,8
3,1,0.01,seqFeedback,1,0.7,B,33,7
4,1,0.01,nonSeqFull,0,0.3,A,3,1
4,1,0.01,nonSeqFull,0,0.3,B,1,40
4,1,0.01,nonSeqFull,0,0.7,A,41,10
4,1,0.01,nonSeqFull,0,0.7,B,4,8
4,1,0.01,nonSeqPartial,0,0.3,A,18,14
4,1,0.01,nonSeqPartial,0,0.3,B,15,54
4,1,0.01,nonSeqPartial,0,0.7,A,19,0
4,1,0.01,nonSeqPartial,0,0.7,B,13,8
4,1,0.01,seqNoFeedback,0,0.3,A,6,30
4,1,0.01,seqNoFeedback,1,0.3,A,3,23
4,1,0.01,seqNoFeedback,0,0.3,B,11,12
4,1,0.01,seqNoFeedback,1,0.3,B,11,23
4,1,0.01,seqNoFeedback,0,0.7,A,26,5
4,1,0.01,seqNoFeedback,1,0.7,A,13,14
4,1,0.01,seqNoFeedback,0,0.7,B,14,5
4,1,0.01,seqNoFeedback,1,0.7,B,14,7
4,1,0.01,seqFeedback,0,0.3,A,16,46
4,1,0.01,seqFeedback,1,0.3,A,11,8
4,1,0.01,seqFeedback,0,0.3,B,4,4
4,1,0.01,seqFeedback,1,0.3,B,0,42
4,1,0.01,seqFeedback,0,0.7,A,47,21
4,1,0.01,seqFeedback,1,0.7,A,30,6
4,1,0.01,seqFeedback,0,0.7,B,8,10
4,1,0.01,seqFeedback,1,0.7,B,3,9
5,1,0.01,nonSeqFull,0,0.3,A,2,0
5,1,0.01,nonSeqFull,0,0.3,B,12,17
5,1,0.01,nonSeqFull,0,0.7,A,13,1
5,1,0.01,nonSeqFull,0,0.7,B,9,7
5,1,0.01,nonSeqPartial,0,0.3,A,20,31
5,1,0.01,nonSeqPartial,0,0.3,B,14,19
5,1,0.01,nonSeqPartial,0,0.7,A,46,20
5,1,0.01,nonSeqPartial,0,0.7,B,49,19
5,1,0.01,seqNoFeedback,0,0.3,A,15,49
5,1,0.01,seqNoFeedback,1,0.3,A,23,35
5,1,0.01,seqNoFeedback,0,0.3,B,7,16
5,1,0.01,seqNoFeedback,1,0.3,B,7,2
5,1,0.01,seqNoFeedback,0,0.7,A,30,23
5,1,0.01,seqNoFeedback,1,0.7,A,1,6
5,1,0.01,seqNoFeedback,0,0.7,B,42,25
5,1,0.01,seqNoFeedback,1,0.7,B,21,10
5,1,0.01,seqFeedback,0,0.3,A,0,6
5,1,0.01,seqFeedback,1,0.3,A,17,40
