subject,run,block_idx,ex_idx,first_movement,start,onset,problem,order,example,rating
1,7,2,0,"[1, 5]","[0, 5]",178.99999999999997,0,"['C', 'D', 'A', 'B']","[5, 3]",3.0
1,7,2,1,"[1, 5]","[0, 5]",194.69999999999996,0,"['C', 'D', 'A', 'B']","[5, 2]",4.0
1,7,2,2,"[1, 5]","[0, 5]",209.64999999999998,0,"['C', 'D', 'A', 'B']","[0, 2]",4.0
1,7,3,0,"[4, 0]","[5, 0]",253.7,25,"['B', 'D', 'C', 'A']","[3, 1]",3.0
1,7,3,1,"[4, 0]","[5, 0]",269.84999999999997,25,"['B', 'D', 'C', 'A']",,2.0
1,7,3,2,"[4, 0]","[5, 0]",284.59999999999997,25,"['B', 'D', 'C', 'A']","[2, 1]",3.0
1,8,0,0,"[5, 1]","[5, 0]",30.0,12,"['D', 'C', 'A', 'B']","[5, 1]",1.0
1,8,0,1,"[5, 1]","[5, 0]",44.95,12,"['D', 'C', 'A', 'B']","[3, 2]",4.0
1,8,0,2,"[5, 1]","[5, 0]",59.35,12,"['D', 'C', 'A', 'B']","[3, 3]",4.0
1,8,1,0,"[1, 0]","[0, 0]",105.5,13,"['D', 'B', 'C', 'A']","[3, 2]",2.0
1,8,1,1,"[1, 0]","[0, 0]",119.45,13,"['D', 'B', 'C', 'A']","[3, 3]",3.0
1,8,1,2,"[1, 0]","[0, 0]",134.5,13,"['D', 'B', 'C', 'A']","[2, 3]",4.0
1,8,2,0,"[0, 4]","[0, 5]",180.75,6,"['A', 'C', 'D', 'B']","[4, 4]",1.0
1,8,2,1,"[0, 4]","[0, 5]",195.29999999999998,6,"['A', 'C', 'D', 'B']","[4, 2]",3.0
1,8,2,2,"[0, 4]","[0, 5]",210.54999999999998,6,"['A', 'C', 'D', 'B']","[1, 2]",4.0
1,8,3,0,"[5, 4]","[5, 5]",254.7,10,"['C', 'D', 'A', 'B']",,3.0
1,8,3,1,"[5, 4]","[5, 5]",268.8,10,"['C', 'D', 'A', 'B']","[5, 5]",1.0
1,8,3,2,"[5, 4]","[5, 5]",284.0,10,"['C', 'D', 'A', 'B']","[1, 3]",3.0
1,9,0,0,"[5, 1]","[5, 0]",30.0,31,"['A', 'D', 'C', 'B']","[4, 2]",2.0
1,9,0,1,"[5, 1]","[5, 0]",45.5,31,"['A', 'D', 'C', 'B']","[5, 1]",3.0
1,9,0,2,"[5, 1]","[5, 0]",58.95,31,"['A', 'D', 'C', 'B']","[4, 3]",
1,9,1,0,"[1, 5]","[0, 5]",104.85000000000001,7,"['B', 'C', 'D', 'A']","[1, 2]",2.0
1,9,1,1,"[1, 5]","[0, 5]",119.4,7,"['B', 'C', 'D', 'A']","[1, 3]",3.0
1,9,1,2,"[1, 5]","[0, 5]",136.15000000000003,7,"['B', 'C', 'D', 'A']","[5, 3]",3.0
1,9,2,0,"[0, 1]","[0, 0]",179.50000000000006,2,"['B', 'A', 'D', 'C']","[2, 2]",2.0
1,9,2,1,"[0, 1]","[0, 0]",194.65000000000003,2,"['B', 'A', 'D', 'C']","[2, 3]",3.0
1,9,2,2,"[0, 1]","[0, 0]",209.85000000000005,2,"['B', 'A', 'D', 'C']","[3, 3]",4.0
1,9,3,0,"[4, 5]","[5, 5]",255.00000000000003,3,"['A', 'D', 'B', 'C']","[1, 5]",2.0
1,9,3,1,"[4, 5]","[5, 5]",269.6,3,"['A', 'D', 'B', 'C']","[3, 3]",3.0
1,9,3,2,"[4, 5]","[5, 5]",284.4,3,"['A', 'D', 'B', 'C']","[1, 0]",4.0
1,10,0,0,"[0, 1]","[0, 0]",30.0,29,"['B', 'D', 'C', 'A']","[2, 4]",2.0
1,10,0,1,"[0, 1]","[0, 0]",44.8,29,"['B', 'D', 'C', 'A']","[1, 4]",
1,10,0,2,"[0, 1]","[0, 0]",59.65,29,"['B', 'D', 'C', 'A']",,3.0
1,10,1,0,"[5, 5]","[5, 5]",103.35,33,"['B', 'C', 'D', 'A']","[4, 5]",0.0
1,10,1,1,"[5, 5]","[5, 5]",118.19999999999999,33,"['B', 'C', 'D', 'A']","[2, 5]",1.0
1,10,1,2,"[5, 5]","[5, 5]",133.35,33,"['B', 'C', 'D', 'A']","[2, 4]",1.0
1,10,2,0,"[1, 5]","[0, 5]",179.54999999999998,4,"['D', 'A', 'C', 'B']","[4, 5]",1.0
1,10,2,1,"[1, 5]","[0, 5]",194.75,4,"['D', 'A', 'C', 'B']","[4, 4]",2.0
1,10,2,2,"[1, 5]","[0, 5]",209.35,4,"['D', 'A', 'C', 'B']","[4, 3]",4.0
1,10,3,0,"[5, 0]","[5, 0]",252.29999999999998,15,"['D', 'C', 'A', 'B']","[3, 1]",2.0
1,10,3,1,"[5, 0]","[5, 0]",268.15,15,"['D', 'C', 'A', 'B']","[5, 2]",3.0
1,10,3,2,"[5, 0]","[5, 0]",282.8999999999999,15,"['D', 'C', 'A', 'B']","[2, 1]",4.0
2,1,0,0,"[5, 0]","[5, 0]",30.0,28,"['A', 'B', 'D', 'C']",,0.0
2,1,0,1,"[5, 0]","[5, 0]",44.9,28,"['A', 'B', 'D', 'C']","[4, 2]",2.0
2,1,0,2,"[5, 0]","[5, 0]",60.25,28,"['A', 'B', 'D', 'C']","[3, 1]",2.0
2,1,1,0,"[0, 4]","[0, 5]",106.8,21,"['D', 'A', 'B', 'C']","[2, 2]",2.0
2,1,1,1,"[0, 4]","[0, 5]",123.0,21,"['D', 'A', 'B', 'C']","[2, 3]",2.0
2,1,1,2,"[0, 4]","[0, 5]",137.15,21,"['D', 'A', 'B', 'C']","[3, 3]",0.0
2,1,2,0,"[0, 0]","[0, 0]",180.7,0,"['A', 'C', 'B', 'D']","[3, 5]",
2,1,2,1,"[0, 0]","[0, 0]",196.39999999999998,0,"['A', 'C', 'B', 'D']","[0, 2]",3.0
2,1,2,2,"[0, 0]","[0, 0]",210.0,0,"['A', 'C', 'B', 'D']","[3, 0]",4.0
2,1,3,0,"[5, 5]","[5, 5]",253.65,34,"['B', 'C', 'A', 'D']","[5, 0]",2.0
2,1,3,1,"[5, 5]","[5, 5]",268.55,34,"['B', 'C', 'A', 'D']","[5, 5]",3.0
2,1,3,2,"[5, 5]","[5, 5]",283.0,34,"['B', 'C', 'A', 'D']","[0, 5]",4.0
2,2,0,0,"[0, 5]","[0, 5]",30.0,37,"['B', 'D', 'C', 'A']","[2, 3]",2.0
2,2,0,1,"[0, 5]","[0, 5]",45.95,37,"['B', 'D', 'C', 'A']",,3.0
2,2,0,2,"[0, 5]","[0, 5]",60.1,37,"['B', 'D', 'C', 'A']","[3, 3]",4.0
2,2,1,0,"[0, 1]","[0, 0]",104.05,2,"['B', 'D', 'A', 'C']","[2, 3]",2.0
2,2,1,1,"[0, 1]","[0, 0]",117.74999999999999,2,"['B', 'D', 'A', 'C']","[3, 3]",2.0
2,2,1,2,"[0, 1]","[0, 0]",132.35,2,"['B', 'D', 'A', 'C']","[2, 2]",2.0
2,2,2,0,"[5, 4]","[5, 5]",178.7,11,"['A', 'C', 'D', 'B']","[5, 0]",2.0
2,2,2,1,"[5, 4]","[5, 5]",192.59999999999997,11,"['A', 'C', 'D', 'B']","[3, 1]",2.0
2,2,2,2,"[5, 4]","[5, 5]",207.64999999999998,11,"['A', 'C', 'D', 'B']","[2, 2]",2.0
2,2,3,0,"[4, 0]","[5, 0]",254.45,33,"['B', 'A', 'D', 'C']","[1, 1]",2.0
2,2,3,1,"[4, 0]","[5, 0]",269.79999999999995,33,"['B', 'A', 'D', 'C']","[1, 4]",3.0
2,2,3,2,"[4, 0]","[5, 0]",283.24999999999994,33,"['B', 'A', 'D', 'C']",,3.0
2,3,0,0,"[5, 1]","[5, 0]",30.0,36,"['C', 'A', 'B', 'D']",,2.0
2,3,0,1,"[5, 1]","[5, 0]",44.8,36,"['C', 'A', 'B', 'D']","[4, 4]",2.0
