,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus
20,A13FUEPWBCLBUY,12,seqFeedback,0,0.2,4,1,B,1,6,0.4166666666666667,,
21,A13FUEPWBCLBUY,12,seqFeedback,1,0.2,4,1,B,1,6,0.3157894736842105,0.1157894736842105,0.0
22,A13FUEPWBCLBUY,13,seqNoFeedback,0,0.5,4,1,B,2,2,,,
23,A13FUEPWBCLBUY,13,seqNoFeedback,1,0.5,4,1,B,2,2,0.6153846153846154,0.11538461538461542,0.0
24,A13FUEPWBCLBUY,14,nonSeqPartial,0,0.8,8,2,D,4,1,0.8,0.0,0.4
25,A13FUEPWBCLBUY,15,nonSeqPartial,0,0.2,2,8,C,1,4,0.2,0.0,0.4
26,A13FUEPWBCLBUY,16,nonSeqPartial,0,0.5,4,1,B,1,1,0.7142857142857143,0.2142857142857143,0.0
27,A13FUEPWBCLBUY,17,nonSeqPartial,0,0.2,1,4,A,1,4,0.2,0.0,0.4
28,A13FUEPWBCLBUY,18,nonSeqFull,0,0.5,1,4,A,1,1,0.2857142857142857,0.2142857142857143,0.0
29,A13FUEPWBCLBUY,19,seqFeedback,0,0.2,2,8,C,8,2,0.5,,
30,A13FUEPWBCLBUY,19,seqFeedback,1,0.2,2,8,C,4,1,0.56,0.36000000000000004,0.0
31,A13FUEPWBCLBUY,20,nonSeqFull,0,0.2,8,2,D,1,4,0.6,0.39999999999999997,0.0
32,A13FUEPWBCLBUY,21,seqNoFeedback,0,0.2,4,1,B,1,4,,,
33,A13FUEPWBCLBUY,21,seqNoFeedback,1,0.2,4,1,B,1,4,0.4,0.2,0.0
34,A13FUEPWBCLBUY,22,nonSeqFull,0,0.8,8,2,D,4,1,0.8,0.0,0.4
35,A13FUEPWBCLBUY,23,nonSeqPartial,0,0.5,2,8,C,1,1,0.25,0.25,0.0
36,A181HHZC94KPZR,0,seqNoFeedback,0,0.8,4,1,B,13,12,,,
37,A181HHZC94KPZR,0,seqNoFeedback,1,0.8,4,1,B,20,5,0.6727272727272727,0.12727272727272732,0.0
38,A181HHZC94KPZR,1,seqNoFeedback,0,0.2,2,8,C,5,20,,,
39,A181HHZC94KPZR,1,seqNoFeedback,1,0.2,2,8,C,5,20,0.2,0.0,0.0
40,A181HHZC94KPZR,2,seqFeedback,0,0.5,1,4,A,13,12,0.4666666666666667,,
41,A181HHZC94KPZR,2,seqFeedback,1,0.5,1,4,A,25,0,0.7090909090909091,0.2090909090909091,0.0
42,A181HHZC94KPZR,3,nonSeqFull,0,0.8,1,4,A,20,5,0.7,0.10000000000000009,0.0
43,A181HHZC94KPZR,4,nonSeqFull,0,0.8,2,8,C,22,3,0.6857142857142857,0.11428571428571432,0.0
44,A181HHZC94KPZR,5,seqFeedback,0,0.5,8,2,D,15,10,0.6571428571428571,,
45,A181HHZC94KPZR,5,seqFeedback,1,0.5,8,2,D,8,7,0.62,0.12,0.0
46,A181HHZC94KPZR,6,nonSeqFull,0,0.2,4,1,B,23,2,0.9,0.7,0.0
47,A181HHZC94KPZR,7,nonSeqPartial,0,0.5,2,8,C,5,5,0.35,0.15000000000000002,0.0
48,A181HHZC94KPZR,8,nonSeqFull,0,0.5,4,1,B,21,4,0.8333333333333334,0.33333333333333337,0.0
49,A181HHZC94KPZR,9,seqFeedback,0,0.8,1,4,A,24,1,0.8333333333333334,,
50,A181HHZC94KPZR,9,seqFeedback,1,0.8,1,4,A,24,1,0.8909090909090909,0.09090909090909083,0.0
51,A181HHZC94KPZR,10,nonSeqFull,0,0.2,8,2,D,0,25,0.22857142857142856,0.028571428571428553,0.0
52,A181HHZC94KPZR,11,nonSeqPartial,0,0.2,2,8,C,0,25,0.05714285714285714,0.14285714285714288,0.0
53,A181HHZC94KPZR,12,nonSeqPartial,0,0.5,1,4,A,19,6,0.6666666666666666,0.16666666666666663,0.0
54,A181HHZC94KPZR,13,nonSeqFull,0,0.5,8,2,D,4,16,0.4,0.09999999999999998,0.0
55,A181HHZC94KPZR,14,nonSeqPartial,0,0.8,8,2,D,20,5,0.8,0.0,0.0
56,A181HHZC94KPZR,15,seqFeedback,0,0.2,1,4,A,5,20,0.2,,
57,A181HHZC94KPZR,15,seqFeedback,1,0.2,1,4,A,5,20,0.2,0.0,0.0
58,A181HHZC94KPZR,16,seqFeedback,0,0.8,8,2,D,20,5,0.8,,
59,A181HHZC94KPZR,16,seqFeedback,1,0.8,8,2,D,20,5,0.8,0.0,0.0
60,A181HHZC94KPZR,17,nonSeqPartial,0,0.2,1,4,A,5,20,0.2,0.0,0.0
61,A181HHZC94KPZR,18,seqNoFeedback,0,0.8,2,8,C,20,5,,,
62,A181HHZC94KPZR,18,seqNoFeedback,1,0.8,2,8,C,20,5,0.7,0.10000000000000009,0.0
63,A181HHZC94KPZR,19,seqNoFeedback,0,0.5,2,8,C,13,2,,,
64,A181HHZC94KPZR,19,seqNoFeedback,1,0.5,2,8,C,13,8,0.6086956521739131,0.10869565217391308,0.0
65,A181HHZC94KPZR,20,seqNoFeedback,0,0.2,4,1,B,5,20,,,
66,A181HHZC94KPZR,20,seqNoFeedback,1,0.2,4,1,B,5,20,0.2545454545454545,0.05454545454545451,0.0
67,A181HHZC94KPZR,21,seqNoFeedback,0,0.5,1,4,A,10,15,,,
68,A181HHZC94KPZR,21,seqNoFeedback,1,0.5,1,4,A,10,15,0.38181818181818183,0.11818181818181817,0.0
69,A181HHZC94KPZR,22,seqFeedback,0,0.2,8,2,D,2,23,0.2857142857142857,,
70,A181HHZC94KPZR,22,seqFeedback,1,0.2,8,2,D,2,23,0.2,0.0,0.0
71,A181HHZC94KPZR,23,nonSeqPartial,0,0.8,1,4,A,24,1,0.8333333333333334,0.033333333333333326,0.0
72,A1FVXS8IM5QYO8,0,nonSeqPartial,0,0.8,2,8,C,8,2,0.5,0.30000000000000004,0.0
73,A1FVXS8IM5QYO8,1,seqNoFeedback,0,0.8,1,4,A,7,3,,,
74,A1FVXS8IM5QYO8,1,seqNoFeedback,1,0.8,1,4,A,15,5,0.6571428571428571,0.1428571428571429,0.0
75,A1FVXS8IM5QYO8,2,nonSeqFull,0,0.8,2,8,C,15,5,0.5666666666666667,0.2333333333333334,0.0
76,A1FVXS8IM5QYO8,3,seqFeedback,0,0.8,8,2,D,9,2,0.8095238095238095,,
77,A1FVXS8IM5QYO8,3,seqFeedback,1,0.8,8,2,D,10,2,0.8181818181818182,0.018181818181818188,0.04
78,A1FVXS8IM5QYO8,4,nonSeqPartial,0,0.2,1,4,A,2,10,0.17647058823529413,0.023529411764705882,0.26
79,A1FVXS8IM5QYO8,5,seqNoFeedback,0,0.5,2,8,C,5,5,,,
80,A1FVXS8IM5QYO8,5,seqNoFeedback,1,0.5,2,8,C,10,10,0.425,0.07500000000000001,0.0
81,A1FVXS8IM5QYO8,6,nonSeqPartial,0,0.5,2,8,C,5,5,0.35,0.15000000000000002,0.0
82,A1FVXS8IM5QYO8,7,seqNoFeedback,0,0.2,8,2,D,2,10,,,
