speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.2,,0.7,1,9,0,5,0.23980320571992145,0.016379259992948224,0.035679410113948214
16,16,0.2,,0.7,1,9,1,4,0.526879929059407,0.010128139530258165,0.20968010640492812
16,16,0.2,,0.7,1,9,2,3,0.5042912882621866,0.00731595660316451,0.24356306760672014
16,16,0.2,,0.7,1,9,3,2,0.49563376463960546,0.1061348305979962,0.2565493530405918
16,16,0.2,,0.7,1,9,4,1,0.4698817670838725,0.8260017938535683,0.2951773493942307
16,16,0.2,,0.7,1,9,5,0,0.6274982502816553,0.7931299299691978,0.9475505179854754
16,16,0.3,,0.3,9,1,0,5,0.6274982502816553,0.4363217055406961,0.9475505179854752
16,16,0.3,,0.3,9,1,1,4,0.46988176708387225,0.4893895820376793,0.2951773493942309
16,16,0.3,,0.3,9,1,2,3,0.49563376463960546,0.023411347899388653,0.2565493530405919
16,16,0.3,,0.3,9,1,3,2,0.5042912882621864,0.0014857412443255143,0.24356306760672033
16,16,0.3,,0.3,9,1,4,1,0.5268799290594067,0.0020614998335893326,0.2096801064049283
16,16,0.3,,0.3,9,1,5,0,0.23980320571992128,0.003350717290423579,0.035679410113948117
16,16,0.3,,0.3,1,9,0,5,0.23980320571992145,0.003350717290423582,0.9643205898860517
16,16,0.3,,0.3,1,9,1,4,0.526879929059407,0.002061499833589329,0.7903198935950718
16,16,0.3,,0.3,1,9,2,3,0.5042912882621866,0.0014857412443255156,0.7564369323932799
16,16,0.3,,0.3,1,9,3,2,0.49563376463960546,0.023411347899389236,0.7434506469594082
16,16,0.3,,0.3,1,9,4,1,0.4698817670838725,0.4893895820376784,0.7048226506057693
16,16,0.3,,0.3,1,9,5,0,0.6274982502816553,0.43632170554069455,0.05244948201452458
16,16,0.3,,0.7,9,1,0,5,0.6274982502816553,0.4363217055406961,0.05244948201452476
16,16,0.3,,0.7,9,1,1,4,0.46988176708387225,0.4893895820376793,0.7048226506057691
16,16,0.3,,0.7,9,1,2,3,0.49563376463960546,0.023411347899388653,0.7434506469594082
16,16,0.3,,0.7,9,1,3,2,0.5042912882621864,0.0014857412443255143,0.7564369323932796
16,16,0.3,,0.7,9,1,4,1,0.5268799290594067,0.0020614998335893326,0.7903198935950717
16,16,0.3,,0.7,9,1,5,0,0.23980320571992128,0.003350717290423579,0.9643205898860517
16,16,0.3,,0.7,1,9,0,5,0.23980320571992145,0.003350717290423582,0.035679410113948214
16,16,0.3,,0.7,1,9,1,4,0.526879929059407,0.002061499833589329,0.20968010640492812
