subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
3,8,0.001,seqNoFeedback,1,0.7,A,22,9
3,8,0.001,seqNoFeedback,0,0.7,B,41,10
3,8,0.001,seqNoFeedback,1,0.7,B,39,13
4,8,0.001,seqFeedback,0,0.3,A,14,24
4,8,0.001,seqFeedback,1,0.3,A,6,17
4,8,0.001,seqFeedback,0,0.3,B,24,39
4,8,0.001,seqFeedback,1,0.3,B,0,33
4,8,0.001,seqFeedback,0,0.7,A,42,11
4,8,0.001,seqFeedback,1,0.7,A,24,10
4,8,0.001,seqFeedback,0,0.7,B,43,21
4,8,0.001,seqFeedback,1,0.7,B,38,12
4,8,0.001,nonSeqFull,0,0.3,A,21,41
4,8,0.001,nonSeqFull,0,0.3,B,12,44
4,8,0.001,nonSeqFull,0,0.7,A,34,8
4,8,0.001,nonSeqFull,0,0.7,B,47,22
4,8,0.001,nonSeqPartial,0,0.3,A,18,29
4,8,0.001,nonSeqPartial,0,0.3,B,15,47
4,8,0.001,nonSeqPartial,0,0.7,A,51,12
4,8,0.001,nonSeqPartial,0,0.7,B,50,15
4,8,0.001,seqNoFeedback,0,0.3,A,18,32
4,8,0.001,seqNoFeedback,1,0.3,A,11,25
4,8,0.001,seqNoFeedback,0,0.3,B,18,45
4,8,0.001,seqNoFeedback,1,0.3,B,13,44
4,8,0.001,seqNoFeedback,0,0.7,A,29,20
4,8,0.001,seqNoFeedback,1,0.7,A,42,8
4,8,0.001,seqNoFeedback,0,0.7,B,47,11
4,8,0.001,seqNoFeedback,1,0.7,B,6,7
5,8,0.001,seqFeedback,0,0.3,A,12,50
5,8,0.001,seqFeedback,1,0.3,A,29,38
5,8,0.001,seqFeedback,0,0.3,B,14,52
5,8,0.001,seqFeedback,1,0.3,B,4,5
5,8,0.001,seqFeedback,0,0.7,A,38,5
5,8,0.001,seqFeedback,1,0.7,A,40,17
5,8,0.001,seqFeedback,0,0.7,B,43,13
5,8,0.001,seqFeedback,1,0.7,B,38,23
5,8,0.001,nonSeqFull,0,0.3,A,9,16
5,8,0.001,nonSeqFull,0,0.3,B,13,53
5,8,0.001,nonSeqFull,0,0.7,A,49,14
5,8,0.001,nonSeqFull,0,0.7,B,21,12
5,8,0.001,nonSeqPartial,0,0.3,A,11,44
5,8,0.001,nonSeqPartial,0,0.3,B,11,47
5,8,0.001,nonSeqPartial,0,0.7,A,34,15
5,8,0.001,nonSeqPartial,0,0.7,B,48,10
5,8,0.001,seqNoFeedback,0,0.3,A,15,55
5,8,0.001,seqNoFeedback,1,0.3,A,12,4
5,8,0.001,seqNoFeedback,0,0.3,B,14,50
5,8,0.001,seqNoFeedback,1,0.3,B,13,27
5,8,0.001,seqNoFeedback,0,0.7,A,44,9
5,8,0.001,seqNoFeedback,1,0.7,A,39,14
5,8,0.001,seqNoFeedback,0,0.7,B,20,13
5,8,0.001,seqNoFeedback,1,0.7,B,37,0
6,8,0.001,seqFeedback,0,0.3,A,9,16
6,8,0.001,seqFeedback,1,0.3,A,21,43
6,8,0.001,seqFeedback,0,0.3,B,12,49
6,8,0.001,seqFeedback,1,0.3,B,11,22
