,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
48,A11BSFO4LMHPXQ,0,seqFeedback,0,0.3,9,1,B,2,5,0.65,,,2.6,yes,2,7,0.2857142857142857,0.7142857142857143,0.7
49,A11BSFO4LMHPXQ,0,seqFeedback,1,0.3,9,1,B,1,6,0.50,0.2,0.0,2.6,yes,2,7,0.14285714285714285,0.8571428571428572,0.7
50,A11BSFO4LMHPXQ,1,seqNoFeedback,0,0.3,1,9,A,3,7,,,,2.6,yes,2,10,0.3,0.3,0.3
51,A11BSFO4LMHPXQ,1,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,2.6,yes,2,10,0.3,0.3,0.3
52,A11BSFO4LMHPXQ,2,seqNoFeedback,0,0.7,1,9,A,3,1,,,,2.6,yes,2,4,0.75,0.75,0.7
53,A11BSFO4LMHPXQ,2,seqNoFeedback,1,0.7,1,9,A,5,2,0.43,0.26999999999999996,0.0,2.6,yes,2,7,0.7142857142857143,0.7142857142857143,0.7
54,A11BSFO4LMHPXQ,3,nonSeqFull,0,0.3,9,1,B,1,8,0.53,0.23000000000000004,0.0,2.6,yes,2,9,0.1111111111111111,0.8888888888888888,0.7
55,A11BSFO4LMHPXQ,4,nonSeqFull,0,0.3,1,9,A,2,4,0.19,0.10999999999999999,0.0,2.6,yes,2,6,0.3333333333333333,0.3333333333333333,0.3
56,A11BSFO4LMHPXQ,5,nonSeqPartial,0,0.7,1,9,A,3,1,0.29,0.41,0.0,2.6,yes,2,4,0.75,0.75,0.7
57,A11BSFO4LMHPXQ,6,seqNoFeedback,0,0.3,9,1,B,3,7,,,,2.6,yes,2,10,0.3,0.7,0.7
58,A11BSFO4LMHPXQ,6,seqNoFeedback,1,0.3,9,1,B,1,8,0.45,0.15000000000000002,0.0,2.6,yes,2,9,0.1111111111111111,0.8888888888888888,0.7
59,A11BSFO4LMHPXQ,7,nonSeqPartial,0,0.3,1,9,A,2,6,0.17,0.12999999999999998,0.0,2.6,yes,2,8,0.25,0.25,0.3
60,A11BSFO4LMHPXQ,8,nonSeqPartial,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,2.6,yes,2,10,0.7,0.30000000000000004,0.3
61,A11BSFO4LMHPXQ,9,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,2.6,yes,2,10,0.3,0.3,0.3
62,A11BSFO4LMHPXQ,9,seqFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,2.6,yes,2,10,0.3,0.3,0.3
63,A11BSFO4LMHPXQ,10,seqFeedback,0,0.7,1,9,A,7,3,0.40,,,2.6,yes,2,10,0.7,0.7,0.7
64,A11BSFO4LMHPXQ,10,seqFeedback,1,0.7,1,9,A,10,2,0.56,0.1399999999999999,0.0,2.6,yes,2,12,0.8333333333333334,0.8333333333333334,0.7
65,A11BSFO4LMHPXQ,11,seqFeedback,0,0.7,9,1,B,7,3,0.80,,,2.6,yes,2,10,0.7,0.30000000000000004,0.3
66,A11BSFO4LMHPXQ,11,seqFeedback,1,0.7,9,1,B,6,4,0.73,0.030000000000000027,0.5,2.6,yes,2,10,0.6,0.4,0.3
67,A11BSFO4LMHPXQ,12,nonSeqFull,0,0.7,1,9,A,8,2,0.45,0.24999999999999994,0.0,2.6,yes,2,10,0.8,0.8,0.7
68,A11BSFO4LMHPXQ,13,nonSeqPartial,0,0.3,9,1,B,3,7,0.60,0.3,0.0,2.6,yes,2,10,0.3,0.7,0.7
69,A11BSFO4LMHPXQ,14,seqNoFeedback,0,0.7,9,1,B,7,3,,,,2.6,yes,2,10,0.7,0.30000000000000004,0.3
70,A11BSFO4LMHPXQ,14,seqNoFeedback,1,0.7,9,1,B,7,3,0.77,0.07000000000000006,0.5,2.6,yes,2,10,0.7,0.30000000000000004,0.3
71,A11BSFO4LMHPXQ,15,nonSeqFull,0,0.7,9,1,B,6,4,0.75,0.050000000000000044,0.6,2.6,yes,2,10,0.6,0.4,0.3
72,A12HLLXWOQJ14Q,0,seqNoFeedback,0,0.7,1,9,A,6,5,,,,1.03,yes,3,11,0.5454545454545454,0.5454545454545454,0.7
73,A12HLLXWOQJ14Q,0,seqNoFeedback,1,0.7,1,9,A,7,4,0.44,0.25999999999999995,0.0,1.03,yes,3,11,0.6363636363636364,0.6363636363636364,0.7
74,A12HLLXWOQJ14Q,1,seqNoFeedback,0,0.3,9,1,B,3,5,,,,1.03,yes,3,8,0.375,0.625,0.7
75,A12HLLXWOQJ14Q,1,seqNoFeedback,1,0.3,9,1,B,5,5,0.61,0.31,0.0,1.03,yes,3,10,0.5,0.5,0.7
76,A12HLLXWOQJ14Q,2,seqNoFeedback,0,0.3,1,9,A,4,3,,,,1.03,yes,3,7,0.5714285714285714,0.5714285714285714,0.3
77,A12HLLXWOQJ14Q,2,seqNoFeedback,1,0.3,1,9,A,5,2,0.42,0.12,0.0,1.03,yes,3,7,0.7142857142857143,0.7142857142857143,0.3
78,A12HLLXWOQJ14Q,3,seqFeedback,0,0.7,1,9,A,3,5,0.22,,,1.03,yes,3,8,0.375,0.375,0.7
79,A12HLLXWOQJ14Q,3,seqFeedback,1,0.7,1,9,A,7,7,0.34,0.35999999999999993,0.0,1.03,yes,3,14,0.5,0.5,0.7
80,A12HLLXWOQJ14Q,4,nonSeqFull,0,0.7,9,1,B,15,10,0.69,0.010000000000000009,0.45,1.03,yes,3,25,0.6,0.4,0.3
81,A12HLLXWOQJ14Q,5,nonSeqFull,0,0.3,1,9,A,10,5,0.44,0.14,0.0,1.03,yes,3,15,0.6666666666666666,0.6666666666666666,0.3
82,A12HLLXWOQJ14Q,6,nonSeqPartial,0,0.7,9,1,B,7,5,0.73,0.030000000000000027,0.58,1.03,yes,3,12,0.5833333333333334,0.41666666666666663,0.3
83,A12HLLXWOQJ14Q,7,nonSeqFull,0,0.3,9,1,B,3,7,0.60,0.3,0.0,1.03,yes,3,10,0.3,0.7,0.7
84,A12HLLXWOQJ14Q,8,seqFeedback,0,0.3,9,1,B,2,7,0.58,,,1.03,yes,3,9,0.2222222222222222,0.7777777777777778,0.7
85,A12HLLXWOQJ14Q,8,seqFeedback,1,0.3,9,1,B,32,38,0.48,0.18,0.0,1.03,yes,3,70,0.45714285714285713,0.5428571428571429,0.7
86,A12HLLXWOQJ14Q,9,nonSeqFull,0,0.7,1,9,A,5,3,0.33,0.36999999999999994,0.0,1.03,yes,3,8,0.625,0.625,0.7
87,A12HLLXWOQJ14Q,10,seqNoFeedback,0,0.7,9,1,B,5,4,,,,1.03,yes,3,9,0.5555555555555556,0.4444444444444444,0.3
88,A12HLLXWOQJ14Q,10,seqNoFeedback,1,0.7,9,1,B,4,7,0.60,0.09999999999999998,0.0,1.03,yes,3,11,0.36363636363636365,0.6363636363636364,0.3
89,A12HLLXWOQJ14Q,11,seqFeedback,0,0.7,9,1,B,8,7,0.68,,,1.03,yes,3,15,0.5333333333333333,0.4666666666666667,0.3
90,A12HLLXWOQJ14Q,11,seqFeedback,1,0.7,9,1,B,3,9,0.54,0.15999999999999992,0.0,1.03,yes,3,12,0.25,0.75,0.3
91,A12HLLXWOQJ14Q,12,seqFeedback,0,0.3,1,9,A,9,5,0.42,,,1.03,yes,3,14,0.6428571428571429,0.6428571428571429,0.3
92,A12HLLXWOQJ14Q,13,nonSeqPartial,0,0.3,9,1,B,9,9,0.64,0.34,0.0,1.03,yes,3,18,0.5,0.5,0.7
93,A12HLLXWOQJ14Q,14,nonSeqPartial,0,0.7,1,9,A,8,7,0.36,0.33999999999999997,0.0,1.03,yes,3,15,0.5333333333333333,0.5333333333333333,0.7
94,A12HLLXWOQJ14Q,15,nonSeqPartial,0,0.3,1,9,A,10,5,0.44,0.14,0.0,1.03,yes,3,15,0.6666666666666666,0.6666666666666666,0.3
95,A12HZGOZQD5YK7,0,nonSeqFull,0,0.7,1,9,A,15,0,0.64,0.05999999999999994,0.55,3.82,yes,3,15,1.0,1.0,0.7
