alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
5,0.1,seqNoFeedback,0,0.8,D,15,0
5,0.1,seqNoFeedback,1,0.8,D,1,1
5,0.1,seqFeedback,0,0.2,A,0,2
5,0.1,seqFeedback,1,0.2,A,1,1
5,0.1,seqFeedback,0,0.2,C,0,18
5,0.1,seqFeedback,1,0.2,C,1,1
5,0.1,seqFeedback,0,0.5,B,1,0
5,0.1,seqFeedback,1,0.5,B,1,3
5,0.1,seqFeedback,0,0.5,C,0,5
5,0.1,seqFeedback,1,0.5,C,7,3
5,0.1,seqFeedback,0,0.8,A,7,0
5,0.1,seqFeedback,1,0.8,A,12,0
5,0.1,seqFeedback,0,0.8,C,19,1
5,0.1,seqFeedback,1,0.8,C,22,0
5,0.1,nonSeqFull,0,0.2,B,0,6
5,0.1,nonSeqFull,0,0.2,C,1,3
5,0.1,nonSeqFull,0,0.5,B,2,3
5,0.1,nonSeqFull,0,0.5,C,6,4
5,0.1,nonSeqFull,0,0.8,A,8,0
5,0.1,nonSeqFull,0,0.8,C,21,0
5,0.1,nonSeqPartial,0,0.2,B,1,0
5,0.1,nonSeqPartial,0,0.2,D,0,1
5,0.1,nonSeqPartial,0,0.5,A,2,0
5,0.1,nonSeqPartial,0,0.5,C,6,1
5,0.1,nonSeqPartial,0,0.8,A,15,0
5,0.1,nonSeqPartial,0,0.8,C,3,1
5,0.1,seqNoFeedback,0,0.2,A,1,9
5,0.1,seqNoFeedback,1,0.2,A,1,8
5,0.1,seqNoFeedback,0,0.2,D,0,16
5,0.1,seqNoFeedback,1,0.2,D,0,24
5,0.1,seqNoFeedback,0,0.5,B,2,0
5,0.1,seqNoFeedback,1,0.5,B,3,1
5,0.1,seqNoFeedback,0,0.5,D,5,0
5,0.1,seqNoFeedback,1,0.5,D,3,0
5,0.1,seqNoFeedback,0,0.8,A,8,0
5,0.1,seqNoFeedback,1,0.8,A,8,0
5,0.1,seqNoFeedback,0,0.8,C,18,0
5,0.1,seqNoFeedback,1,0.8,C,0,1
5,0.1,seqFeedback,0,0.2,B,0,6
5,0.1,seqFeedback,1,0.2,B,0,9
5,0.1,seqFeedback,0,0.2,C,0,22
5,0.1,seqFeedback,1,0.2,C,2,3
5,0.1,seqFeedback,0,0.5,A,4,0
5,0.1,seqFeedback,1,0.5,A,3,0
