subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
2,1,0.01,seqNoFeedback,1,0.7,B,37,13
2,1,0.01,seqFeedback,0,0.3,A,0,15
2,1,0.01,seqFeedback,1,0.3,A,14,8
2,1,0.01,seqFeedback,0,0.3,B,6,27
2,1,0.01,seqFeedback,1,0.3,B,3,22
2,1,0.01,seqFeedback,0,0.7,A,14,7
2,1,0.01,seqFeedback,1,0.7,A,8,2
2,1,0.01,seqFeedback,0,0.7,B,32,3
2,1,0.01,seqFeedback,1,0.7,B,17,5
3,1,0.01,nonSeqFull,0,0.3,A,5,1
3,1,0.01,nonSeqFull,0,0.3,B,0,16
3,1,0.01,nonSeqFull,0,0.7,A,15,1
3,1,0.01,nonSeqFull,0,0.7,B,24,22
3,1,0.01,nonSeqPartial,0,0.3,A,15,32
3,1,0.01,nonSeqPartial,0,0.3,B,4,9
3,1,0.01,nonSeqPartial,0,0.7,A,40,9
3,1,0.01,nonSeqPartial,0,0.7,B,25,19
3,1,0.01,seqNoFeedback,0,0.3,A,13,33
3,1,0.01,seqNoFeedback,1,0.3,A,5,27
3,1,0.01,seqNoFeedback,0,0.3,B,16,21
3,1,0.01,seqNoFeedback,1,0.3,B,7,32
3,1,0.01,seqNoFeedback,0,0.7,A,23,1
3,1,0.01,seqNoFeedback,1,0.7,A,16,0
3,1,0.01,seqNoFeedback,0,0.7,B,25,4
3,1,0.01,seqNoFeedback,1,0.7,B,47,10
3,1,0.01,seqFeedback,0,0.3,A,8,35
3,1,0.01,seqFeedback,1,0.3,A,13,20
3,1,0.01,seqFeedback,0,0.3,B,0,22
3,1,0.01,seqFeedback,1,0.3,B,5,40
3,1,0.01,seqFeedback,0,0.7,A,30,10
3,1,0.01,seqFeedback,1,0.7,A,34,5
3,1,0.01,seqFeedback,0,0.7,B,38,18
3,1,0.01,seqFeedback,1,0.7,B,6,2
4,1,0.01,nonSeqFull,0,0.3,A,19,50
4,1,0.01,nonSeqFull,0,0.3,B,1,19
