alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
3,0.001,seqFeedback,1,0.8,B,3,2
3,0.001,seqFeedback,0,0.8,D,2,2
3,0.001,seqFeedback,1,0.8,D,2,0
3,0.001,nonSeqFull,0,0.2,A,4,14
3,0.001,nonSeqFull,0,0.2,D,2,25
3,0.001,nonSeqFull,0,0.5,B,12,11
3,0.001,nonSeqFull,0,0.5,D,4,10
3,0.001,nonSeqFull,0,0.8,A,13,1
3,0.001,nonSeqFull,0,0.8,D,4,2
3,0.001,nonSeqPartial,0,0.2,B,1,20
3,0.001,nonSeqPartial,0,0.2,C,0,30
3,0.001,nonSeqPartial,0,0.5,B,1,6
3,0.001,nonSeqPartial,0,0.5,C,16,13
3,0.001,nonSeqPartial,0,0.8,A,27,3
3,0.001,nonSeqPartial,0,0.8,D,22,0
3,0.001,seqNoFeedback,0,0.2,B,3,26
3,0.001,seqNoFeedback,1,0.2,B,0,7
3,0.001,seqNoFeedback,0,0.2,C,5,15
3,0.001,seqNoFeedback,1,0.2,C,0,7
3,0.001,seqNoFeedback,0,0.5,B,13,17
3,0.001,seqNoFeedback,1,0.5,B,9,8
3,0.001,seqNoFeedback,0,0.5,C,0,8
3,0.001,seqNoFeedback,1,0.5,C,16,11
3,0.001,seqNoFeedback,0,0.8,B,6,2
3,0.001,seqNoFeedback,1,0.8,B,22,2
3,0.001,seqNoFeedback,0,0.8,C,7,1
3,0.001,seqNoFeedback,1,0.8,C,20,3
3,0.001,seqFeedback,0,0.2,B,2,5
3,0.001,seqFeedback,1,0.2,B,0,14
3,0.001,seqFeedback,0,0.2,D,7,16
3,0.001,seqFeedback,1,0.2,D,0,23
3,0.001,seqFeedback,0,0.5,A,6,2
3,0.001,seqFeedback,1,0.5,A,16,13
3,0.001,seqFeedback,0,0.5,C,14,13
3,0.001,seqFeedback,1,0.5,C,8,4
3,0.001,seqFeedback,0,0.8,B,23,5
3,0.001,seqFeedback,1,0.8,B,20,5
3,0.001,seqFeedback,0,0.8,D,21,6
3,0.001,seqFeedback,1,0.8,D,24,2
3,0.001,nonSeqFull,0,0.2,B,3,27
3,0.001,nonSeqFull,0,0.2,D,1,29
3,0.001,nonSeqFull,0,0.5,B,3,7
3,0.001,nonSeqFull,0,0.5,C,11,2
3,0.001,nonSeqFull,0,0.8,A,18,2
3,0.001,nonSeqFull,0,0.8,D,25,5
3,0.001,nonSeqPartial,0,0.2,B,6,20
3,0.001,nonSeqPartial,0,0.2,C,0,21
3,0.001,nonSeqPartial,0,0.5,B,12,16
3,0.001,nonSeqPartial,0,0.5,D,9,15
3,0.001,nonSeqPartial,0,0.8,B,17,5
3,0.001,nonSeqPartial,0,0.8,D,30,0
3,0.001,seqNoFeedback,0,0.2,A,1,5
3,0.001,seqNoFeedback,1,0.2,A,1,19
3,0.001,seqNoFeedback,0,0.2,C,0,20
3,0.001,seqNoFeedback,1,0.2,C,2,27
3,0.001,seqNoFeedback,0,0.5,B,17,13
3,0.001,seqNoFeedback,1,0.5,B,11,12
3,0.001,seqNoFeedback,0,0.5,C,10,4
3,0.001,seqNoFeedback,1,0.5,C,13,4
3,0.001,seqNoFeedback,0,0.8,B,11,4
3,0.001,seqNoFeedback,1,0.8,B,18,1
3,0.001,seqNoFeedback,0,0.8,D,26,1
3,0.001,seqNoFeedback,1,0.8,D,28,2
3,0.001,seqFeedback,0,0.2,A,4,16
3,0.001,seqFeedback,1,0.2,A,4,14
3,0.001,seqFeedback,0,0.2,C,7,22
3,0.001,seqFeedback,1,0.2,C,2,0
3,0.001,seqFeedback,0,0.5,B,11,15
3,0.001,seqFeedback,1,0.5,B,2,2
3,0.001,seqFeedback,0,0.5,D,14,4
3,0.001,seqFeedback,1,0.5,D,6,11
3,0.001,seqFeedback,0,0.8,A,8,3
3,0.001,seqFeedback,1,0.8,A,18,1
3,0.001,seqFeedback,0,0.8,D,28,2
3,0.001,seqFeedback,1,0.8,D,23,4
3,0.001,nonSeqFull,0,0.2,A,7,19
